19.71099 18.63073 20.74206 23.28275 22.0485
23.6361 21.65362 27.39959 25.27471 26.60689
26.30949 25.69033 28.22531 26.88806 26.66993
28.4159 29.02213 30.13568 30.22877 30.13211
31.03502 31.45903 32.51713 32.18265 33.43971
32.08279 33.835 34.89292 32.54184 34.81921
35.83718 36.24273 37.43313 38.75097 38.97417
38.30539 37.68049 39.61725 39.7115 38.89339
40.15008 41.51272 41.21728 43.20912 43.12815
44.18387 43.39488 43.29601 45.60408 45.37735
46.51766 46.5746 45.89271 46.822 46.81983
47.96377 49.23478 49.39604 48.93586 49.35848
50.76574 50.9546 51.5473 51.35413 53.82541
54.18993 53.3441 53.39181 54.26722 55.76166
54.76578 55.3625 57.51963 58.18528 59.01183
58.15491 60.714 58.39009 59.55996 61.31234
61.28207 59.93703 60.76778 62.6062 61.77362
63.8889 62.49135 66.10072 64.46783 65.80843
65.06648 65.83843 66.70631 66.0886 66.80619
69.7505 68.3594 69.16448 68.23358 70.01108
