 45.0   44.8   45.4   44.0   44.9   45.0   45.3   44.6   45.1   44.9   44.4
   44.3   44.0   44.0   44.1   43.1   43.7   44.1   43.5   43.9   44.4   45.5
   45.0   45.0   44.7   44.4   44.9   44.6   44.7   44.6   45.6   45.7   45.9
   46.5   45.5   46.4   47.1   47.5   47.5   46.8   46.6   46.5   47.2   49.6
   47.2   47.1   47.8   47.7   47.8   47.8   46.5   45.5   45.0   44.9   44.3
   43.9   42.9   42.2   41.6   41.4   41.3   40.8   40.7   40.8   41.0   41.1
   41.9   42.5   43.2   44.5   44.4   43.6   43.9   43.9   43.9   42.8   42.3
   43.1   42.8   43.2   42.7   43.2   41.7   42.6   42.3   42.5   42.2   42.2
   43.0   43.2   44.2   43.6   43.2   43.6   44.0   44.2   45.1   45.5   45.7
   45.0   46.0   46.6   48.0   47.9   48.3   48.4   47.0   47.3   48.0   48.5
   48.5   47.2   47.8   46.5   47.1   46.9   47.0   46.9   47.5   47.6   47.5
   47.3   47.1   47.2   47.1   47.6   47.4   46.7   46.6   46.4   46.1   46.7
