  5.31707   5.80871   7.68505   5.85875   6.83513   6.28205   6.38978
   6.31704   7.24883   6.65543   6.81719   7.11579   5.03663   5.17241
   4.80530   5.21634   6.56189   4.89171   5.60676   7.40594   6.75355
   6.46586   6.14849   6.14001   6.35294   4.07906   4.50450   3.91189
   6.38215   4.92881   4.34034   6.80918   5.56333   6.46417   6.40732
   6.46784   5.84270   4.30757   5.33281   5.52367   4.91983   4.07960
   5.66600   5.39617   5.59541   7.03801   5.36744   5.86893   6.21536
   3.60735   5.15110   4.82274   4.78409   4.74723   5.72566   5.16827
   5.77979   5.80762   5.31840   5.29762   4.73647   3.95349   4.76796
   4.67041   4.87282   4.70756   5.03853   5.18390   5.53919   5.53901
   4.59619   4.42450   4.90004   3.19465   3.84737   3.28488   3.06092
   4.13897   3.93886   4.44181   4.34928   4.50151   3.79073   3.67133
   3.27248   3.13808
