62.1548 61.75278 61.58491 63.34521 65.47699
65.78271 65.85232 64.16091 64.3392 64.94851
65.30438 65.26787 65.07479 66.99503 65.74886
65.80083 63.43426 60.28308 57.83685 54.5915
52.20894 51.92385 51.68689 52.55565 53.77352
55.90622 57.65554 58.54534 59.30601 61.00008
62.48114 62.69213 61.90168 61.59006 61.36843
61.76064 61.89722 60.44399 59.07874 57.40678
55.60226 55.3012 57.09111 56.37885 54.17963
53.68638 53.1344 53.84858 54.44932 54.89934
55.32103 57.41791 58.42294 58.3191 57.79659
56.98376 55.88757 56.7298 57.08686 58.48237
56.98265 55.46892 53.4465 52.51801 52.68546
51.52081 50.51205 49.20536 48.56431 48.26658
49.20681 48.43658 46.98226 46.55721 47.72921
48.1529 50.94795 52.41759
